Catalog Year	Catalog Page	 Item#	D E S C R I P T I O N	2022   EAST PETE PRICE 	1SET/#CTN	#PC/CTN	Ctn GW (lbs)	Carton CUFT	Collection Name
2022	125	21823	NIGHTSTAND	 $ 308.00 		1	107	12.22	Antares
2022	125	21824	MIRROR (LED)	 $ 193.60 		1	56	3.7	Antares
2022	125	21825	DRESSER	 $ 785.40 		1	191	34.9	Antares
2022	125	21826	CHEST	 $ 622.60 		1	157	26.39	Antares
2022	90	21994CK	CAL.KING BED	 $ 2,696.10 	3		404	86.73	Vendome
2022	90	21997EK	EASTERN KING BED	 $ 2,696.10 	3		376	94.58	Vendome
2022	90	22000Q	QUEEN BED	 $ 2,482.70 	3		366	70.6	Vendome
2022	90	22003	NIGHTSTAND	 $ 567.60 		1	106	16.25	Vendome
2022	90	22004	MIRROR	 $ 409.20 		1	46	7.53	Vendome
2022	90	22005	DRESSER/SERVER	 $ 1,423.40 		1	240	41.57	Vendome
2022	90	22006	CHEST	 $ 1,166.00 		1	212	34.74	Vendome
2022	90	22007	TV ARMOIRE (T&BS)	 $ 2,174.70 	2		388	78.58	Vendome
2022	1521	22009	VANITY DESK	 $ 1,333.20 		1	216	30.71	Vendome
