Given SKU	Chosen Collection Name	Given Description	Handle Suffix	Chosen Handle
DIANA-BROWN-CH	gracelynne	CHEST		
DIANA-BROWN-DR	gracelynne	DRESSER		
DIANA-BROWN-MR	gracelynne	MIRROR		
DIANA-BROWN-NS W/ USB	gracelynne	NIGHTSTAND		
DIANA-S-FB	gracelynne	FULL BED		
DIANA-S-KB	gracelynne	KING BED		
DIANA-S-QB	gracelynne	QUEEN BED		
DIANA-SILVER-BENCH	gracelynne	BENCH		
DIANA-SILVER-CH	gracelynne	CHEST		
DIANA-SILVER-DR	gracelynne	DRESSER		
DIANA-SILVER-MR	gracelynne	MIRROR		
DIANA-SILVER-NS W/ USB	gracelynne	NIGHTSTAND		
HALEY-BROWN-CH	greenleigh	CHEST		
HALEY-BROWN-DR	greenleigh	DRESSER		
HALEY-BROWN-FB	greenleigh	FULL BED		
HALEY-BROWN-KB	greenleigh	KING BED		
HALEY-BROWN-MR	greenleigh	MIRROR		
HALEY-BROWN-NS	greenleigh	NIGHTSTAND		
HALEY-BROWN-QB	greenleigh	QUEEN BED		
HUDSON(988)-CH	griselle	CHEST		
HUDSON(988)-D	griselle	DRESSER		
HUDSON(988)-EKB	griselle	KING BED		
HUDSON(988)-M	griselle	MIRROR		
HUDSON(988)-NS	griselle	NIGHTSTAND		
HUDSON(988)-QB 	griselle	QUEEN BED		
JADE-CHAMPAGNE-CH	gunhilda	CHEST		
JADE-CHAMPAGNE-DR	gunhilda	DRESSER		
JADE-CHAMPAGNE-MR	gunhilda	MIRROR		
JADE-CHAMPAGNE-NS	gunhilda	NIGHTSTAND		
JADE-FB	gunhilda	FULL BED		
JADE-KB	gunhilda	KING BED		
JADE-QB	gunhilda	QUEEN BED		
JEWEL-GREY-D	gustaff	DRESSER		
JEWEL-GREY-LC	gustaaf	LINGERIE CHEST		
JEWEL-GREY-M	gustaaf	MIRROR		
JEWEL-GREY-NS	gustaaf	NIGHTSTAND		
JORDYN-GREY-CH	gustav	CHEST		
